#iter.	 ime 	 mass 	 bozon 	 px1 	 py1 	 pz1 	 px2 	 py2 	 pz2
0. 	b	4.18	0	6.72	94.08	-12.18	5.28	1.92	-45.82
1. 	W	80.379	1	-51.52	-76.44	7.14	-40.48	-1.56	26.86
2. 	b	4.18	0	42.56	62.72	17.64	33.44	1.28	66.36
3. 	b	4.18	0	-12.32	47.04	-7.56	-9.68	0.96	-28.44
4. 	W	80.379	1	-51.52	-50.96	18.06	-40.48	-1.04	67.94
5. 	W	80.379	1	-45.92	33.32	17.22	-36.08	0.68	64.78
6. 	b	4.18	0	15.68	33.32	-10.5	12.32	0.68	-39.5
7. 	b	4.18	0	26.88	9.8	7.14	21.12	0.2	26.86
8. 	b	4.18	0	-14.56	-31.36	12.6	-11.44	-0.64	47.4
9. 	Z	91.187	1	-24.64	11.76	-6.3	-19.36	0.24	-23.7
10. 	b	4.18	0	1.12	-29.4	-14.28	0.88	-0.6	-53.72
11. 	b	4.18	0	44.8	54.88	-13.86	35.2	1.12	-52.14
12. 	b	4.18	0	1.12	-1.96	9.24	0.88	-0.04	34.76
13. 	b	4.18	0	41.44	-64.68	1.26	32.56	-1.32	4.74
14. 	b	4.18	0	14.56	39.2	-12.18	11.44	0.8	-45.82
15. 	b	4.18	0	6.72	-58.8	-6.72	5.28	-1.2	-25.28
16. 	W	80.379	1	-35.84	68.6	-18.48	-28.16	1.4	-69.52
17. 	b	4.18	0	32.48	-88.2	4.62	25.52	-1.8	17.38
18. 	b	4.18	0	-12.32	90.16	-16.38	-9.68	1.84	-61.62
19. 	b	4.18	0	52.64	-76.44	-12.18	41.36	-1.56	-45.82
20. 	b	4.18	0	24.64	29.4	-3.78	19.36	0.6	-14.22
21. 	b	4.18	0	49.28	-31.36	-7.56	38.72	-0.64	-28.44
22. 	W	80.379	1	-51.52	-39.2	11.34	-40.48	-0.8	42.66
23. 	Z	91.187	1	-23.52	31.36	2.94	-18.48	0.64	11.06
24. 	b	4.18	0	16.8	76.44	12.6	13.2	1.56	47.4
25. 	b	4.18	0	-11.2	-78.4	-3.78	-8.8	-1.6	-14.22
26. 	b	4.18	0	-17.92	54.88	2.52	-14.08	1.12	9.48
27. 	b	4.18	0	-14.56	-84.28	20.16	-11.44	-1.72	75.84
28. 	b	4.18	0	0	-72.52	19.74	0	-1.48	74.26
29. 	W	80.379	1	-45.92	-47.04	-5.04	-36.08	-0.96	-18.96
30. 	b	4.18	0	32.48	-56.84	-16.38	25.52	-1.16	-61.62
31. 	b	4.18	0	-10.08	23.52	0.42	-7.92	0.48	1.58
32. 	W	80.379	1	-44.8	-60.76	6.72	-35.2	-1.24	25.28
33. 	b	4.18	0	13.44	52.92	7.14	10.56	1.08	26.86
34. 	b	4.18	0	56	-56.84	-20.16	44	-1.16	-75.84
35. 	b	4.18	0	-20.16	-35.28	-8.82	-15.84	-0.72	-33.18
36. 	W	80.379	1	-35.84	-47.04	15.12	-28.16	-0.96	56.88
37. 	b	4.18	0	40.32	-52.92	13.02	31.68	-1.08	48.98
38. 	b	4.18	0	-1.12	-88.2	5.88	-0.88	-1.8	22.12
39. 	Tau	1.777	0	-29.12	-19.6	8.82	-22.88	-0.4	33.18
40. 	b	4.18	0	-21.28	94.08	-9.24	-16.72	1.92	-34.76
41. 	b	4.18	0	-21.28	-15.68	11.76	-16.72	-0.32	44.24
42. 	b	4.18	0	56	-11.76	-7.98	44	-0.24	-30.02
43. 	b	4.18	0	-19.04	88.2	20.16	-14.96	1.8	75.84
44. 	b	4.18	0	38.08	7.84	5.04	29.92	0.16	18.96
45. 	W	80.379	1	-54.88	23.52	11.76	-43.12	0.48	44.24
46. 	b	4.18	0	-13.44	-70.56	15.54	-10.56	-1.44	58.46
47. 	b	4.18	0	54.88	-78.4	-6.3	43.12	-1.6	-23.7
48. 	b	4.18	0	40.32	13.72	3.78	31.68	0.28	14.22
49. 	b	4.18	0	15.68	45.08	-9.66	12.32	0.92	-36.34
50. 	b	4.18	0	28	88.2	16.8	22	1.8	63.2
51. 	b	4.18	0	-8.96	-96.04	-1.68	-7.04	-1.96	-6.32
52. 	b	4.18	0	15.68	66.64	10.08	12.32	1.36	37.92
53. 	b	4.18	0	50.4	-1.96	-5.04	39.6	-0.04	-18.96
54. 	W	80.379	1	-33.6	1.96	14.7	-26.4	0.04	55.3
55. 	b	4.18	0	2.24	52.92	-12.18	1.76	1.08	-45.82
56. 	b	4.18	0	50.4	96.04	8.4	39.6	1.96	31.6
57. 	Tau	1.777	0	-29.12	31.36	18.06	-22.88	0.64	67.94
58. 	b	4.18	0	17.92	-5.88	14.7	14.08	-0.12	55.3
59. 	W	80.379	1	-32.48	7.84	0.42	-25.52	0.16	1.58
60. 	b	4.18	0	50.4	-92.12	-15.96	39.6	-1.88	-60.04
61. 	b	4.18	0	-11.2	-68.6	16.38	-8.8	-1.4	61.62
62. 	W	80.379	1	-49.28	35.28	7.98	-38.72	0.72	30.02
63. 	b	4.18	0	-17.92	41.16	1.26	-14.08	0.84	4.74
64. 	b	4.18	0	23.52	-70.56	-20.16	18.48	-1.44	-75.84
65. 	b	4.18	0	44.8	5.88	14.28	35.2	0.12	53.72
66. 	W	80.379	1	-33.6	-94.08	-13.44	-26.4	-1.92	-50.56
67. 	W	80.379	1	-42.56	-43.12	-8.4	-33.44	-0.88	-31.6
68. 	b	4.18	0	33.6	56.84	-12.6	26.4	1.16	-47.4
69. 	b	4.18	0	47.04	-25.48	1.26	36.96	-0.52	4.74
70. 	W	80.379	1	-50.4	-94.08	5.88	-39.6	-1.92	22.12
71. 	b	4.18	0	-16.8	-27.44	15.54	-13.2	-0.56	58.46
72. 	b	4.18	0	-21.28	15.68	-3.36	-16.72	0.32	-12.64
73. 	W	80.379	1	-35.84	64.68	18.06	-28.16	1.32	67.94
74. 	b	4.18	0	32.48	52.92	-3.36	25.52	1.08	-12.64
75. 	b	4.18	0	-8.96	58.8	-7.56	-7.04	1.2	-28.44
76. 	b	4.18	0	1.12	-86.24	19.74	0.88	-1.76	74.26
77. 	W	80.379	1	-43.68	1.96	-6.72	-34.32	0.04	-25.28
78. 	b	4.18	0	35.84	82.32	18.48	28.16	1.68	69.52
79. 	b	4.18	0	-21.28	56.84	-5.46	-16.72	1.16	-20.54
80. 	b	4.18	0	30.24	-27.44	4.62	23.76	-0.56	17.38
81. 	Tau	1.777	0	-31.36	-84.28	-2.52	-24.64	-1.72	-9.48
82. 	b	4.18	0	39.2	-37.24	4.62	30.8	-0.76	17.38
83. 	b	4.18	0	33.6	90.16	-9.66	26.4	1.84	-36.34
84. 	b	4.18	0	33.6	80.36	20.16	26.4	1.64	75.84
85. 	W	80.379	1	-39.2	15.68	-5.46	-30.8	0.32	-20.54
86. 	W	80.379	1	-38.08	11.76	-13.44	-29.92	0.24	-50.56
87. 	Tau	1.777	0	-29.12	-17.64	18.9	-22.88	-0.36	71.1
88. 	b	4.18	0	10.08	-13.72	2.1	7.92	-0.28	7.9
89. 	b	4.18	0	33.6	74.48	-17.22	26.4	1.52	-64.78
90. 	b	4.18	0	-3.36	-3.92	11.34	-2.64	-0.08	42.66
91. 	b	4.18	0	-4.48	-58.8	-15.54	-3.52	-1.2	-58.46
92. 	b	4.18	0	14.56	54.88	-1.68	11.44	1.12	-6.32
93. 	b	4.18	0	-13.44	1.96	7.56	-10.56	0.04	28.44
94. 	b	4.18	0	13.44	-5.88	-13.02	10.56	-0.12	-48.98
95. 	b	4.18	0	42.56	45.08	-20.58	33.44	0.92	-77.42
96. 	b	4.18	0	5.6	39.2	21	4.4	0.8	79
97. 	b	4.18	0	22.4	-66.64	-9.66	17.6	-1.36	-36.34
98. 	b	4.18	0	-3.36	-58.8	-7.14	-2.64	-1.2	-26.86
99. 	b	4.18	0	29.12	-21.56	14.28	22.88	-0.44	53.72
100. 	b	4.18	0	-2.24	9.8	-3.36	-1.76	0.2	-12.64
101. 	b	4.18	0	29.12	-76.44	-12.6	22.88	-1.56	-47.4
102. 	W	80.379	1	-35.84	-84.28	-3.78	-28.16	-1.72	-14.22
103. 	b	4.18	0	38.08	52.92	20.58	29.92	1.08	77.42
104. 	b	4.18	0	42.56	5.88	12.6	33.44	0.12	47.4
105. 	b	4.18	0	54.88	84.28	-7.14	43.12	1.72	-26.86
106. 	b	4.18	0	20.16	21.56	10.08	15.84	0.44	37.92
107. 	b	4.18	0	45.92	-94.08	-14.7	36.08	-1.92	-55.3
108. 	b	4.18	0	38.08	-9.8	-13.44	29.92	-0.2	-50.56
109. 	Tau	1.777	0	-28	98	10.5	-22	2	39.5
110. 	b	4.18	0	-3.36	3.92	7.14	-2.64	0.08	26.86
111. 	b	4.18	0	-6.72	66.64	-1.26	-5.28	1.36	-4.74
112. 	b	4.18	0	-17.92	0	-19.32	-14.08	0	-72.68
113. 	b	4.18	0	33.6	68.6	18.48	26.4	1.4	69.52
114. 	Tau	1.777	0	-28	-84.28	7.98	-22	-1.72	30.02
115. 	b	4.18	0	-19.04	96.04	10.5	-14.96	1.96	39.5
116. 	b	4.18	0	20.16	-56.84	7.56	15.84	-1.16	28.44
117. 	b	4.18	0	-17.92	7.84	0.84	-14.08	0.16	3.16
118. 	W	80.379	1	-38.08	94.08	7.56	-29.92	1.92	28.44
119. 	Tau	1.777	0	-30.24	-17.64	6.3	-23.76	-0.36	23.7
120. 	W	80.379	1	-45.92	-58.8	-9.24	-36.08	-1.2	-34.76
121. 	b	4.18	0	42.56	-19.6	-12.6	33.44	-0.4	-47.4
122. 	b	4.18	0	54.88	-47.04	-1.26	43.12	-0.96	-4.74
123. 	b	4.18	0	-12.32	-5.88	19.74	-9.68	-0.12	74.26
124. 	Z	91.187	1	-23.52	-37.24	-2.1	-18.48	-0.76	-7.9
125. 	Tau	1.777	0	-30.24	-1.96	10.92	-23.76	-0.04	41.08
126. 	b	4.18	0	-14.56	21.56	11.76	-11.44	0.44	44.24
127. 	b	4.18	0	53.76	-64.68	-13.44	42.24	-1.32	-50.56
128. 	b	4.18	0	38.08	78.4	5.46	29.92	1.6	20.54
129. 	b	4.18	0	49.28	-54.88	-0.84	38.72	-1.12	-3.16
130. 	b	4.18	0	-3.36	-45.08	-2.52	-2.64	-0.92	-9.48
131. 	W	80.379	1	-40.32	37.24	5.04	-31.68	0.76	18.96
132. 	b	4.18	0	-3.36	45.08	19.74	-2.64	0.92	74.26
133. 	b	4.18	0	-14.56	-86.24	1.26	-11.44	-1.76	4.74
134. 	b	4.18	0	-15.68	-13.72	15.96	-12.32	-0.28	60.04
135. 	W	80.379	1	-42.56	-41.16	-18.06	-33.44	-0.84	-67.94
136. 	W	80.379	1	-42.56	86.24	3.36	-33.44	1.76	12.64
137. 	b	4.18	0	-7.84	-76.44	-6.72	-6.16	-1.56	-25.28
138. 	b	4.18	0	34.72	-50.96	-17.22	27.28	-1.04	-64.78
139. 	W	80.379	1	-44.8	15.68	-20.16	-35.2	0.32	-75.84
140. 	b	4.18	0	21.28	80.36	5.88	16.72	1.64	22.12
141. 	b	4.18	0	30.24	29.4	-14.28	23.76	0.6	-53.72
142. 	b	4.18	0	3.36	23.52	12.6	2.64	0.48	47.4
143. 	b	4.18	0	30.24	-72.52	-18.48	23.76	-1.48	-69.52
144. 	b	4.18	0	0	-41.16	14.7	0	-0.84	55.3
145. 	W	80.379	1	-41.44	-7.84	15.54	-32.56	-0.16	58.46
146. 	b	4.18	0	34.72	1.96	-6.72	27.28	0.04	-25.28
147. 	b	4.18	0	-2.24	82.32	16.8	-1.76	1.68	63.2
148. 	W	80.379	1	-32.48	80.36	-15.12	-25.52	1.64	-56.88
149. 	b	4.18	0	41.44	-17.64	20.16	32.56	-0.36	75.84
150. 	b	4.18	0	50.4	-68.6	-17.64	39.6	-1.4	-66.36
151. 	b	4.18	0	19.04	88.2	10.92	14.96	1.8	41.08
152. 	b	4.18	0	21.28	-90.16	18.06	16.72	-1.84	67.94
153. 	b	4.18	0	2.24	-15.68	18.9	1.76	-0.32	71.1
154. 	b	4.18	0	23.52	58.8	6.72	18.48	1.2	25.28
155. 	b	4.18	0	48.16	43.12	19.32	37.84	0.88	72.68
156. 	b	4.18	0	33.6	29.4	-14.7	26.4	0.6	-55.3
157. 	b	4.18	0	14.56	-72.52	9.24	11.44	-1.48	34.76
158. 	Tau	1.777	0	-31.36	98	-10.08	-24.64	2	-37.92
159. 	b	4.18	0	51.52	94.08	-6.72	40.48	1.92	-25.28
160. 	b	4.18	0	23.52	-68.6	13.86	18.48	-1.4	52.14
161. 	b	4.18	0	26.88	-37.24	-2.52	21.12	-0.76	-9.48
162. 	W	80.379	1	-43.68	47.04	8.4	-34.32	0.96	31.6
163. 	b	4.18	0	26.88	-88.2	7.98	21.12	-1.8	30.02
164. 	W	80.379	1	-40.32	84.28	-1.26	-31.68	1.72	-4.74
165. 	b	4.18	0	32.48	-37.24	-3.36	25.52	-0.76	-12.64
166. 	Z	91.187	1	-24.64	9.8	21	-19.36	0.2	79
167. 	b	4.18	0	-2.24	19.6	-0.84	-1.76	0.4	-3.16
168. 	b	4.18	0	47.04	74.48	10.5	36.96	1.52	39.5
169. 	b	4.18	0	-1.12	90.16	-13.86	-0.88	1.84	-52.14
170. 	b	4.18	0	36.96	-80.36	6.3	29.04	-1.64	23.7
171. 	W	80.379	1	-51.52	-60.76	4.62	-40.48	-1.24	17.38
172. 	b	4.18	0	30.24	-74.48	7.14	23.76	-1.52	26.86
173. 	b	4.18	0	22.4	-72.52	2.52	17.6	-1.48	9.48
174. 	b	4.18	0	-3.36	50.96	0.84	-2.64	1.04	3.16
175. 	b	4.18	0	4.48	15.68	3.36	3.52	0.32	12.64
176. 	b	4.18	0	-19.04	-37.24	10.5	-14.96	-0.76	39.5
177. 	b	4.18	0	-19.04	-19.6	-15.96	-14.96	-0.4	-60.04
178. 	b	4.18	0	54.88	86.24	-14.7	43.12	1.76	-55.3
179. 	Tau	1.777	0	-28	76.44	-9.24	-22	1.56	-34.76
180. 	Tau	1.777	0	-26.88	50.96	7.98	-21.12	1.04	30.02
181. 	Z	91.187	1	-23.52	-82.32	8.82	-18.48	-1.68	33.18
182. 	b	4.18	0	34.72	-62.72	-14.7	27.28	-1.28	-55.3
183. 	b	4.18	0	24.64	37.24	2.94	19.36	0.76	11.06
184. 	b	4.18	0	13.44	74.48	-20.58	10.56	1.52	-77.42
185. 	b	4.18	0	-21.28	5.88	-11.76	-16.72	0.12	-44.24
186. 	b	4.18	0	41.44	-45.08	-15.96	32.56	-0.92	-60.04
187. 	W	80.379	1	-53.76	-62.72	-4.2	-42.24	-1.28	-15.8
188. 	W	80.379	1	-35.84	33.32	5.04	-28.16	0.68	18.96
189. 	b	4.18	0	10.08	-66.64	-6.72	7.92	-1.36	-25.28
190. 	b	4.18	0	48.16	72.52	-5.46	37.84	1.48	-20.54
191. 	b	4.18	0	13.44	94.08	-0.42	10.56	1.92	-1.58
192. 	b	4.18	0	-8.96	-60.76	-6.72	-7.04	-1.24	-25.28
193. 	b	4.18	0	5.6	-11.76	-7.98	4.4	-0.24	-30.02
194. 	W	80.379	1	-52.64	50.96	-17.64	-41.36	1.04	-66.36
195. 	b	4.18	0	7.84	86.24	-4.62	6.16	1.76	-17.38
196. 	b	4.18	0	-16.8	90.16	5.46	-13.2	1.84	20.54
197. 	b	4.18	0	44.8	80.36	-1.26	35.2	1.64	-4.74
198. 	b	4.18	0	-19.04	-5.88	5.88	-14.96	-0.12	22.12
199. 	b	4.18	0	13.44	-17.64	-18.06	10.56	-0.36	-67.94
200. 	b	4.18	0	35.84	58.8	-10.08	28.16	1.2	-37.92
201. 	Tau	1.777	0	-30.24	-84.28	-12.6	-23.76	-1.72	-47.4
202. 	b	4.18	0	29.12	-70.56	-15.54	22.88	-1.44	-58.46
203. 	W	80.379	1	-53.76	98	2.94	-42.24	2	11.06
204. 	W	80.379	1	-33.6	-78.4	-0.42	-26.4	-1.6	-1.58
205. 	b	4.18	0	23.52	-76.44	-6.72	18.48	-1.56	-25.28
206. 	W	80.379	1	-52.64	27.44	-16.8	-41.36	0.56	-63.2
